left_image_ID,right_image_ID,study_question,left_num,right_num,total
513e5dc3fdc9f0358700aeab,5140d960fdc9f04926003bb4,livelier,7,9,16
50f448abfdc9f065f0004161,513d699ffdc9f035870047c4,safer,0,69,69
50f42c43fdc9f065f000198c,5185d4edfdc9f03fd5001448,safer,41,24,65
50f5e56cfdc9f065f00068d7,513d5c71fdc9f03587003704,safer,43,3,46
513e5d95fdc9f0358700ae31,51422ad6fdc9f049260089a5,more depressing,0,45,45
51409ce6fdc9f04926001250,514139f7fdc9f049260055be,wealthier,29,16,45
513f2d0cfdc9f0358700d985,51414cbbfdc9f049260073e1,safer,0,42,42
513cc2aafdc9f035870015bf,513e6f56fdc9f0358700c565,livelier,39,0,39
513e2197fdc9f0358700a46a,513e6087fdc9f0358700b3e9,more depressing,0,39,39
513f2e7dfdc9f0358700dc0a,51422896fdc9f0492600878f,safer,34,4,38
50f5e8aafdc9f065f000748e,513f1205fdc9f0358700c8f5,livelier,8,29,37
513d9c2efdc9f03587007c5a,5185d3ddfdc9f03fd5001341,safer,0,37,37
513d51c4fdc9f03587002ed6,5141353efdc9f04926004941,more depressing,1,33,34
513d5d5dfdc9f035870038a1,513d6a3ffdc9f035870049e5,more depressing,34,0,34
513d37b2fdc9f03587002c11,513e657ffdc9f0358700b991,safer,32,0,32
50f46485fdc9f065f00046be,5140c825fdc9f04926002149,more depressing,29,3,32
513cc0e8fdc9f03587001411,51414e2dfdc9f0492600779a,safer,30,1,31
513d7888fdc9f035870061cb,5185d41afdc9f03fd500137c,more depressing,8,22,30
50f42b4ffdc9f065f00012b6,50f43aadfdc9f065f0002ef0,safer,0,28,28
513d69c5fdc9f03587004849,513e1d68fdc9f035870099c2,more beautiful,0,27,27
513d3230fdc9f03587002883,513e212dfdc9f0358700a3e1,safer,27,0,27
51409944fdc9f04926000dc5,51421ad0fdc9f049260083ae,safer,26,1,27
513d592cfdc9f0358700336d,513d7e48fdc9f0358700738f,safer,2,25,27
50f433c6fdc9f065f000268a,5185cffffdc9f03fd5000fb1,livelier,26,0,26
513e1ca9fdc9f035870097cc,51408bedfdc9f0358700ea17,more depressing,19,7,26
50f42c55fdc9f065f0001b66,513e5beefdc9f0358700a9a6,more boring,23,2,25
50f43537fdc9f065f0002d02,51422955fdc9f0492600883f,more beautiful,0,24,24
50f43527fdc9f065f0002bcb,513e20b9fdc9f0358700a29a,livelier,3,21,24
513e6d72fdc9f0358700c2c8,51409049fdc9f04926000276,livelier,24,0,24
51413591fdc9f04926004a5d,51414593fdc9f04926006617,more beautiful,0,23,23
513f3232fdc9f0358700e050,51421a65fdc9f04926008335,safer,2,21,23
50f43aa6fdc9f065f0002e73,50f61679beb2fed9100008e9,livelier,23,0,23
50f43532fdc9f065f0002ca6,513d9b96fdc9f03587007a6a,safer,2,21,23
513d7ba5fdc9f03587006c27,513e20fafdc9f0358700a34a,more beautiful,1,21,22
5140953cfdc9f0492600095a,5141480efdc9f04926006bd2,safer,18,4,22
50f44807fdc9f065f0003ca9,50f55e52fdc9f065f0004bcb,livelier,0,22,22
50f5ee94fdc9f065f0008eb3,513f2c49fdc9f0358700d843,safer,0,22,22
50f42eb3fdc9f065f00023c7,513d6b8efdc9f03587004d50,safer,0,22,22
513d59a9fdc9f035870033a8,513d7d5efdc9f035870071a6,more depressing,19,2,21
50f433d9fdc9f065f00027b8,51415199fdc9f04926007fc4,safer,21,0,21
50f5e8a5fdc9f065f000742d,513e1c4cfdc9f035870096d6,wealthier,3,18,21
513cca02fdc9f03587001ca9,514135fdfdc9f04926004bb5,safer,2,19,21
513cda9efdc9f0358700201c,5140cb89fdc9f04926002baf,livelier,16,5,21
513e22e5fdc9f0358700a5f2,51413c72fdc9f04926005b26,more boring,0,21,21
513d7f4afdc9f035870075a6,5185ce50fdc9f03fd5000e08,safer,1,20,21
513cc1befdc9f035870014dc,513d9fa9fdc9f035870087ba,safer,1,19,20
50f6166fbeb2fed91000084e,513d7f35fdc9f03587007583,safer,20,0,20
513cd58cfdc9f03587001f0e,51414c79fdc9f04926007340,more beautiful,20,0,20
50f43494fdc9f065f00029d6,50f5ed68fdc9f065f0008d1b,wealthier,20,0,20
513e1aeafdc9f03587009322,5140d80cfdc9f0492600392e,more depressing,2,18,20
50f42b82fdc9f065f0001468,513e6facfdc9f0358700c5e0,safer,0,20,20
50f439fbfdc9f065f0002e52,513d57e4fdc9f03587003240,wealthier,0,19,19
513e5d1dfdc9f0358700ace0,513f2c54fdc9f0358700d85a,safer,0,19,19
513d9c9cfdc9f03587007dd0,5140cc11fdc9f04926002cec,safer,0,19,19
50f5eaf0fdc9f065f0007e74,514098ebfdc9f04926000d45,more boring,0,19,19
513d6c1bfdc9f03587004eaf,51408ffafdc9f049260001d5,safer,19,0,19
513d9ae9fdc9f03587007847,51413a8afdc9f0492600572d,livelier,18,0,18
