merged_index,row_index,left,right,study_question,choice,place_name_left,place_name_right
0,0,513e5dc3fdc9f0358700aeab,5140d960fdc9f04926003bb4,livelier,right,Paris,Dublin
1,1,513d699ffdc9f035870047c4,50f448abfdc9f065f0004161,safer,right,Boston,Sydney
2,2,5185d4edfdc9f03fd5001448,50f42c43fdc9f065f000198c,safer,left,Montreal,Warsaw
3,3,50f5e56cfdc9f065f00068d7,513d5c71fdc9f03587003704,safer,left,Sao Paulo,Barcelona
4,4,51422ad6fdc9f049260089a5,513e5d95fdc9f0358700ae31,more depressing,right,Philadelphia,Paris
5,5,51409ce6fdc9f04926001250,514139f7fdc9f049260055be,wealthier,left,Rome,Johannesburg
6,6,51414cbbfdc9f049260073e1,513f2d0cfdc9f0358700d985,safer,right,Milan,Berlin
7,7,513e6f56fdc9f0358700c565,513cc2aafdc9f035870015bf,livelier,left,Tokyo,Houston
8,8,513e6087fdc9f0358700b3e9,513e2197fdc9f0358700a46a,more depressing,right,Paris,Moscow
9,9,513f2e7dfdc9f0358700dc0a,51422896fdc9f0492600878f,safer,left,Berlin,Philadelphia
10,10,513f1205fdc9f0358700c8f5,50f5e8aafdc9f065f000748e,livelier,right,Tokyo,San Francisco
11,11,5185d3ddfdc9f03fd5001341,513d9c2efdc9f03587007c5a,safer,right,Montreal,Atlanta
12,12,513d51c4fdc9f03587002ed6,5141353efdc9f04926004941,more depressing,right,Barcelona,Glasgow
13,13,513d6a3ffdc9f035870049e5,513d5d5dfdc9f035870038a1,more depressing,left,Denver,Belo Horizonte
14,14,513d37b2fdc9f03587002c11,513e657ffdc9f0358700b991,safer,left,Chicago,Kyoto
15,15,5140c825fdc9f04926002149,50f46485fdc9f065f00046be,more depressing,left,Bratislava,Sydney
16,16,513cc0e8fdc9f03587001411,51414e2dfdc9f0492600779a,safer,left,Houston,Mexico City
17,17,5185d41afdc9f03fd500137c,513d7888fdc9f035870061cb,more depressing,right,Montreal,Santiago
18,18,50f43aadfdc9f065f0002ef0,50f42b4ffdc9f065f00012b6,safer,right,Tel Aviv,Warsaw
19,19,513d69c5fdc9f03587004849,513e1d68fdc9f035870099c2,more beautiful,right,Boston,Moscow
20,20,513e212dfdc9f0358700a3e1,513d3230fdc9f03587002883,safer,left,London,Chicago
21,21,51421ad0fdc9f049260083ae,51409944fdc9f04926000dc5,safer,left,Munich,Rome
22,22,513d7e48fdc9f0358700738f,513d592cfdc9f0358700336d,safer,right,Santiago,Barcelona
23,23,50f433c6fdc9f065f000268a,5185cffffdc9f03fd5000fb1,livelier,left,Toronto,Montreal
24,24,51408bedfdc9f0358700ea17,513e1ca9fdc9f035870097cc,more depressing,left,Madrid,Moscow
25,25,50f42c55fdc9f065f0001b66,513e5beefdc9f0358700a9a6,more boring,left,Warsaw,Kiev
26,26,50f43537fdc9f065f0002d02,51422955fdc9f0492600883f,more beautiful,right,Toronto,Philadelphia
27,27,50f43527fdc9f065f0002bcb,513e20b9fdc9f0358700a29a,livelier,right,Toronto,London
28,28,513e6d72fdc9f0358700c2c8,51409049fdc9f04926000276,livelier,left,Tokyo,Lisbon
29,29,51413591fdc9f04926004a5d,51414593fdc9f04926006617,more beautiful,right,Glasgow,Melbourne
30,30,513f3232fdc9f0358700e050,51421a65fdc9f04926008335,safer,right,Berlin,Munich
31,31,50f43aa6fdc9f065f0002e73,50f61679beb2fed9100008e9,livelier,left,Tel Aviv,Philadelphia
32,32,50f43532fdc9f065f0002ca6,513d9b96fdc9f03587007a6a,safer,right,Toronto,Atlanta
33,33,513e20fafdc9f0358700a34a,513d7ba5fdc9f03587006c27,more beautiful,right,London,New York
34,34,5141480efdc9f04926006bd2,5140953cfdc9f0492600095a,safer,left,Melbourne,Madrid
35,35,50f55e52fdc9f065f0004bcb,50f44807fdc9f065f0003ca9,livelier,right,Stockholm,Sydney
36,36,50f5ee94fdc9f065f0008eb3,513f2c49fdc9f0358700d843,safer,right,Prague,Berlin
37,37,50f42eb3fdc9f065f00023c7,513d6b8efdc9f03587004d50,safer,right,Toronto,Denver
38,38,513d7d5efdc9f035870071a6,513d59a9fdc9f035870033a8,more depressing,left,New York,Barcelona
39,39,50f433d9fdc9f065f00027b8,51415199fdc9f04926007fc4,safer,left,Toronto,Mexico City
