left_sorted,right_sorted,left,right,equal,total,study_questions
513e5dc3fdc9f0358700aeab,5140d960fdc9f04926003bb4,98,98,4,290,"[nan, 'livelier']"
50f448abfdc9f065f0004161,513d699ffdc9f035870047c4,0,69,1,70,['safer']
50f42c43fdc9f065f000198c,5185d4edfdc9f03fd5001448,41,24,3,68,['safer']
50f5e56cfdc9f065f00068d7,513d5c71fdc9f03587003704,43,3,1,47,['safer']
51409ce6fdc9f04926001250,514139f7fdc9f049260055be,29,16,2,47,['wealthier']
513e5d95fdc9f0358700ae31,51422ad6fdc9f049260089a5,0,45,0,45,['more depressing']
513d5b4ffdc9f03587003502,5140cd75fdc9f04926002f5a,20,20,3,43,['more beautiful']
513f2d0cfdc9f0358700d985,51414cbbfdc9f049260073e1,0,42,1,43,['safer']
513e2197fdc9f0358700a46a,513e6087fdc9f0358700b3e9,0,39,1,40,['more depressing']
513f2e7dfdc9f0358700dc0a,51422896fdc9f0492600878f,34,4,1,39,['safer']
50f5e8aafdc9f065f000748e,513f1205fdc9f0358700c8f5,8,29,2,39,['livelier']
513cc2aafdc9f035870015bf,513e6f56fdc9f0358700c565,39,0,0,39,['livelier']
50f445affdc9f065f00035c5,513d578efdc9f035870031aa,19,19,0,38,['more beautiful']
513d9c2efdc9f03587007c5a,5185d3ddfdc9f03fd5001341,0,37,0,37,['safer']
50f46485fdc9f065f00046be,5140c825fdc9f04926002149,29,3,3,35,['more depressing']
513d5d5dfdc9f035870038a1,513d6a3ffdc9f035870049e5,34,0,0,34,['more depressing']
513d51c4fdc9f03587002ed6,5141353efdc9f04926004941,1,33,0,34,['more depressing']
513d37b2fdc9f03587002c11,513e657ffdc9f0358700b991,32,0,0,32,['safer']
513d7888fdc9f035870061cb,5185d41afdc9f03fd500137c,8,22,1,31,['more depressing']
513cc0e8fdc9f03587001411,51414e2dfdc9f0492600779a,30,1,0,31,['safer']
50f42b4ffdc9f065f00012b6,50f43aadfdc9f065f0002ef0,0,28,0,28,['safer']
513d592cfdc9f0358700336d,513d7e48fdc9f0358700738f,2,25,1,28,['safer']
513d3230fdc9f03587002883,513e212dfdc9f0358700a3e1,27,0,1,28,['safer']
50f42c55fdc9f065f0001b66,513e5beefdc9f0358700a9a6,23,2,2,27,['more boring']
513d69c5fdc9f03587004849,513e1d68fdc9f035870099c2,0,27,0,27,['more beautiful']
51409944fdc9f04926000dc5,51421ad0fdc9f049260083ae,26,1,0,27,['safer']
513e1ca9fdc9f035870097cc,51408bedfdc9f0358700ea17,19,7,0,26,['more depressing']
50f433c6fdc9f065f000268a,5185cffffdc9f03fd5000fb1,26,0,0,26,['livelier']
50f43537fdc9f065f0002d02,51422955fdc9f0492600883f,0,24,0,24,['more beautiful']
